,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
542,TOTAL DE ESTUPRO (4),7.0,5.0,9.0,...,...,...,...,...,...,...,...,...,21.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
543,ESTUPRO,3.0,0.0,3.0,...,...,...,...,...,...,...,...,...,6.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
544,ESTUPRO DE VULNERÁVEL,4.0,5.0,6.0,...,...,...,...,...,...,...,...,...,15.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
545,TOTAL DE ROUBO - OUTROS (1),89.0,92.0,109.0,...,...,...,...,...,...,...,...,...,290.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
546,ROUBO - OUTROS,86.0,90.0,107.0,...,...,...,...,...,...,...,...,...,283.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
547,ROUBO DE VEÍCULO,16.0,12.0,18.0,...,...,...,...,...,...,...,...,...,46.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
548,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
549,ROUBO DE CARGA,3.0,2.0,2.0,...,...,...,...,...,...,...,...,...,7.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
550,FURTO - OUTROS,302.0,285.0,418.0,...,...,...,...,...,...,...,...,...,1.005,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
551,FURTO DE VEÍCULO,36.0,45.0,59.0,...,...,...,...,...,...,...,...,...,140.0,2022,Mogi das Cruzes,Grande São Paulo (exclui a Capital)
552,HOMICÍDIO DOLOSO (2),2.0,1.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2022,Osasco,Grande São Paulo (exclui a Capital)
553,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2.0,1.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2022,Osasco,Grande São Paulo (exclui a Capital)
554,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Osasco,Grande São Paulo (exclui a Capital)
555,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Osasco,Grande São Paulo (exclui a Capital)
556,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,3.0,1.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Osasco,Grande São Paulo (exclui a Capital)
557,HOMICÍDIO CULPOSO OUTROS,1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Osasco,Grande São Paulo (exclui a Capital)
558,TENTATIVA DE HOMICÍDIO,4.0,0.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Osasco,Grande São Paulo (exclui a Capital)
559,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Osasco,Grande São Paulo (exclui a Capital)
560,LESÃO CORPORAL DOLOSA,131.0,168.0,166.0,...,...,...,...,...,...,...,...,...,465.0,2022,Osasco,Grande São Paulo (exclui a Capital)
561,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,55.0,54.0,74.0,...,...,...,...,...,...,...,...,...,183.0,2022,Osasco,Grande São Paulo (exclui a Capital)
562,LESÃO CORPORAL CULPOSA - OUTRAS,1.0,2.0,3.0,...,...,...,...,...,...,...,...,...,6.0,2022,Osasco,Grande São Paulo (exclui a Capital)
563,LATROCÍNIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Osasco,Grande São Paulo (exclui a Capital)
564,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Osasco,Grande São Paulo (exclui a Capital)
565,TOTAL DE ESTUPRO (4),6.0,10.0,15.0,...,...,...,...,...,...,...,...,...,31.0,2022,Osasco,Grande São Paulo (exclui a Capital)
566,ESTUPRO,2.0,5.0,3.0,...,...,...,...,...,...,...,...,...,10.0,2022,Osasco,Grande São Paulo (exclui a Capital)
567,ESTUPRO DE VULNERÁVEL,4.0,5.0,12.0,...,...,...,...,...,...,...,...,...,21.0,2022,Osasco,Grande São Paulo (exclui a Capital)
568,TOTAL DE ROUBO - OUTROS (1),412.0,451.0,517.0,...,...,...,...,...,...,...,...,...,1.38,2022,Osasco,Grande São Paulo (exclui a Capital)
569,ROUBO - OUTROS,390.0,428.0,493.0,...,...,...,...,...,...,...,...,...,1.311,2022,Osasco,Grande São Paulo (exclui a Capital)
570,ROUBO DE VEÍCULO,50.0,54.0,49.0,...,...,...,...,...,...,...,...,...,153.0,2022,Osasco,Grande São Paulo (exclui a Capital)
571,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Osasco,Grande São Paulo (exclui a Capital)
572,ROUBO DE CARGA,22.0,23.0,24.0,...,...,...,...,...,...,...,...,...,69.0,2022,Osasco,Grande São Paulo (exclui a Capital)
573,FURTO - OUTROS,597.0,581.0,631.0,...,...,...,...,...,...,...,...,...,1.809,2022,Osasco,Grande São Paulo (exclui a Capital)
574,FURTO DE VEÍCULO,213.0,220.0,208.0,...,...,...,...,...,...,...,...,...,641.0,2022,Osasco,Grande São Paulo (exclui a Capital)
575,HOMICÍDIO DOLOSO (2),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
576,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
577,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
578,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
579,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
580,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
581,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
582,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
583,LESÃO CORPORAL DOLOSA,1.0,6.0,1.0,...,...,...,...,...,...,...,...,...,8.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
584,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,3.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
585,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
586,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
587,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
588,TOTAL DE ESTUPRO (4),0.0,2.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
589,ESTUPRO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
590,ESTUPRO DE VULNERÁVEL,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
591,TOTAL DE ROUBO - OUTROS (1),1.0,2.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
592,ROUBO - OUTROS,1.0,2.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
593,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
594,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
595,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
596,FURTO - OUTROS,6.0,7.0,6.0,...,...,...,...,...,...,...,...,...,19.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
597,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Pirapora do Bom Jesus,Grande São Paulo (exclui a Capital)
598,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
599,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
600,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
601,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
602,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
603,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
604,TENTATIVA DE HOMICÍDIO,2.0,1.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2022,Poá,Grande São Paulo (exclui a Capital)
605,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
606,LESÃO CORPORAL DOLOSA,18.0,26.0,24.0,...,...,...,...,...,...,...,...,...,68.0,2022,Poá,Grande São Paulo (exclui a Capital)
607,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1.0,1.0,6.0,...,...,...,...,...,...,...,...,...,8.0,2022,Poá,Grande São Paulo (exclui a Capital)
608,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
609,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
610,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
611,TOTAL DE ESTUPRO (4),4.0,4.0,0.0,...,...,...,...,...,...,...,...,...,8.0,2022,Poá,Grande São Paulo (exclui a Capital)
612,ESTUPRO,1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Poá,Grande São Paulo (exclui a Capital)
613,ESTUPRO DE VULNERÁVEL,3.0,3.0,0.0,...,...,...,...,...,...,...,...,...,6.0,2022,Poá,Grande São Paulo (exclui a Capital)
614,TOTAL DE ROUBO - OUTROS (1),84.0,68.0,78.0,...,...,...,...,...,...,...,...,...,230.0,2022,Poá,Grande São Paulo (exclui a Capital)
615,ROUBO - OUTROS,81.0,67.0,77.0,...,...,...,...,...,...,...,...,...,225.0,2022,Poá,Grande São Paulo (exclui a Capital)
616,ROUBO DE VEÍCULO,18.0,9.0,21.0,...,...,...,...,...,...,...,...,...,48.0,2022,Poá,Grande São Paulo (exclui a Capital)
617,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Poá,Grande São Paulo (exclui a Capital)
618,ROUBO DE CARGA,3.0,1.0,1.0,...,...,...,...,...,...,...,...,...,5.0,2022,Poá,Grande São Paulo (exclui a Capital)
619,FURTO - OUTROS,78.0,80.0,94.0,...,...,...,...,...,...,...,...,...,252.0,2022,Poá,Grande São Paulo (exclui a Capital)
620,FURTO DE VEÍCULO,27.0,37.0,25.0,...,...,...,...,...,...,...,...,...,89.0,2022,Poá,Grande São Paulo (exclui a Capital)
621,HOMICÍDIO DOLOSO (2),0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
622,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
623,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
624,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
625,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,0.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
626,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
627,TENTATIVA DE HOMICÍDIO,1.0,0.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
628,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
629,LESÃO CORPORAL DOLOSA,28.0,22.0,24.0,...,...,...,...,...,...,...,...,...,74.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
630,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3.0,5.0,14.0,...,...,...,...,...,...,...,...,...,22.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
631,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
632,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
633,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
634,TOTAL DE ESTUPRO (4),2.0,0.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
635,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
636,ESTUPRO DE VULNERÁVEL,2.0,0.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
637,TOTAL DE ROUBO - OUTROS (1),24.0,20.0,23.0,...,...,...,...,...,...,...,...,...,67.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
638,ROUBO - OUTROS,23.0,19.0,23.0,...,...,...,...,...,...,...,...,...,65.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
639,ROUBO DE VEÍCULO,6.0,14.0,11.0,...,...,...,...,...,...,...,...,...,31.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
640,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
641,ROUBO DE CARGA,1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
642,FURTO - OUTROS,44.0,47.0,43.0,...,...,...,...,...,...,...,...,...,134.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
643,FURTO DE VEÍCULO,12.0,22.0,14.0,...,...,...,...,...,...,...,...,...,48.0,2022,Ribeirão Pires,Grande São Paulo (exclui a Capital)
644,HOMICÍDIO DOLOSO (2),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
645,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
646,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
647,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
648,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
649,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
650,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
651,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
652,LESÃO CORPORAL DOLOSA,15.0,13.0,14.0,...,...,...,...,...,...,...,...,...,42.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
653,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
654,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
655,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
656,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
657,TOTAL DE ESTUPRO (4),1.0,0.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
658,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
659,ESTUPRO DE VULNERÁVEL,1.0,0.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
660,TOTAL DE ROUBO - OUTROS (1),3.0,2.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
661,ROUBO - OUTROS,3.0,2.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
662,ROUBO DE VEÍCULO,2.0,2.0,1.0,...,...,...,...,...,...,...,...,...,5.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
663,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
664,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
665,FURTO - OUTROS,14.0,19.0,34.0,...,...,...,...,...,...,...,...,...,67.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
666,FURTO DE VEÍCULO,7.0,1.0,4.0,...,...,...,...,...,...,...,...,...,12.0,2022,Rio Grande da Serra,Grande São Paulo (exclui a Capital)
667,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
668,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
669,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
670,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
671,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
672,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
673,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
674,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
675,LESÃO CORPORAL DOLOSA,1.0,6.0,3.0,...,...,...,...,...,...,...,...,...,10.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
676,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
677,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
678,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
679,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
680,TOTAL DE ESTUPRO (4),1.0,1.0,2.0,...,...,...,...,...,...,...,...,...,4.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
681,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
682,ESTUPRO DE VULNERÁVEL,1.0,1.0,2.0,...,...,...,...,...,...,...,...,...,4.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
683,TOTAL DE ROUBO - OUTROS (1),1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
684,ROUBO - OUTROS,1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
685,ROUBO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
686,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
687,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
688,FURTO - OUTROS,11.0,8.0,11.0,...,...,...,...,...,...,...,...,...,30.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
689,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Salesópolis,Grande São Paulo (exclui a Capital)
690,HOMICÍDIO DOLOSO (2),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
691,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
692,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
693,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
694,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
695,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
696,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
697,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
698,LESÃO CORPORAL DOLOSA,15.0,17.0,13.0,...,...,...,...,...,...,...,...,...,45.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
699,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,4.0,3.0,3.0,...,...,...,...,...,...,...,...,...,10.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
700,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
701,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Santa Isabel,Grande São Paulo (exclui a Capital)
